664e9d24 17c 90 38   Note On Ab2 43
38bb3e7e 90 3e 67   Note On D3 103
38bb4147 90 3b 00   Note On(0-Off) B2
38bb41d3 90 37 00   Note On(0-Off) G2
38bb4223 90 3e 00   Note On(0-Off) D3
38bb4311 90 37 59   Note On G2 89

38bb4313 90 40 66   Note On E3 102
38bb45d4 90 37 00   Note On(0-Off) G2
38bb4607 90 40 00   Note On(0-Off) E3
38bb4678 90 37 67   Note On G2 103
38bb46f6 90 24 00   Note On(0-Off) C1
38bb4887 90 37 00   Note On(0-Off) G2
38bb49cc 90 37 67   Note On G2 103
38bb4afe 90 37 00   Note On(0-Off) G2
38bb4bcb 90 3e 67   Note On D3 103

38bb4bcd 90 37 66   Note On G2 102

38bb4bce 90 3b 6b   Note On B2 107

38bb4be6 90 2d 64   Note On A1 100
38bb4ef6 90 3b 00   Note On(0-Off) B2
38bb4f3b 90 37 00   Note On(0-Off) G2
38bb4fa7 90 3e 00   Note On(0-Off) D3
38bb50b9 90 40 4f   Note On E3 79

38bb50c2 90 37 49   Note On G2 73
38bb5454 90 37 00   Note On(0-Off) G2

38bb5456 90 40 00   Note On(0-Off) E3
38bb55e1 90 2d 00   Note On(0-Off) A1
38bb5745 90 26 4d   Note On D1 77

38bb5748 90 41 3e   Note On F3 62

38bb5749 90 39 40   Note On A2 64

38bb574a 90 35 3c   Note On F2 60
38bb586a 90 39 00   Note On(0-Off) A2

38bb5880 90 35 00   Note On(0-Off) F2

38bb5893 90 41 00   Note On(0-Off) F3
38bb5940 90 39 40   Note On A2 64

38bb5945 90 35 2f   Note On F2 47

38bb594c 90 41 2c   Note On F3 44
38bb5a22 90 39 00   Note On(0-Off) A2

38bb5a26 90 41 00   Note On(0-Off) F3

38bb5a3b 90 35 00   Note On(0-Off) F2
38bb5aec 90 39 42   Note On A2 66

38bb5aee 90 35 25   Note On F2 37

38bb5af0 90 41 3e   Note On F3 62
38bb5c1c 90 39 00   Note On(0-Off) A2

38bb5c21 90 41 00   Note On(0-Off) F3

38bb5c2d 90 35 00   Note On(0-Off) F2
38bb5cf2 90 35 56   Note On F2 86

38bb5cf3 90 39 64   Note On A2 100

38bb5cf6 90 41 4f   Note On F3 79
38bb5f4b 90 41 00   Note On(0-Off) F3

38bb5f8e 90 35 00   Note On(0-Off) F2
38bb5fb1 90 39 00   Note On(0-Off) A2

38bb5fd6 90 26 00   Note On(0-Off) D1
38bb6053 90 39 5f   Note On A2 95

38bb6054 90 40 64   Note On E3 100

38bb6055 90 35 5b   Note On F2 91

38bb6067 90 2b 66   Note On G1 102
38bb6261 90 40 00   Note On(0-Off) E3
38bb626d 90 39 00   Note On(0-Off) A2

38bb628a 90 35 00   Note On(0-Off) F2
38bb6379 90 2b 00   Note On(0-Off) G1
38bb63a1 90 34 49   Note On E2 73

38bb63a6 90 37 67   Note On G2 103

38bb63b0 90 24 7d   Note On C1 125
38bb6604 90 34 00   Note On(0-Off) E2

38bb6605 90 24 00   Note On(0-Off) C1
38bb6626 90 37 00   Note On(0-Off) G2
38bb8e1b 90 24 64   Note On C1 100
38bb8f23 90 2b 3f   Note On G1 63
38bb8f82 90 24 00   Note On(0-Off) C1
38bb900b 90 2b 00   Note On(0-Off) G1
38bb903c 90 30 4f   Note On C2 79
38bb90fc 90 30 00   Note On(0-Off) C2
38bb9144 90 32 4d   Note On D2 77
38bb9247 90 34 3f   Note On E2 63
38bb9286 90 32 00   Note On(0-Off) D2
38bb933f 90 37 67   Note On G2 103

38bb9345 90 34 00   Note On(0-Off) E2
38bb9427 90 40 4f   Note On E3 79
38bb94ba 90 37 00   Note On(0-Off) G2
38bb94fe 90 43 5b   Note On G3 91
38bb95d6 90 43 00   Note On(0-Off) G3

38bb95f4 90 2f 6b   Note On B1 107
38bb9601 90 43 6b   Note On G3 107

38bb9609 90 48 6b   Note On C4 107
38bb96f2 90 35 60   Note On F2 96
38bb9760 90 2f 00   Note On(0-Off) B1
38bb97fb 90 3b 6e   Note On B2 110

38bb981a 90 35 00   Note On(0-Off) F2
38bb98fb 90 40 00   Note On(0-Off) E3

38bb9904 90 43 00   Note On(0-Off) G3

38bb991b 90 48 00   Note On(0-Off) C4
38bb9961 90 43 64   Note On G3 100

38bb9963 90 40 49   Note On E3 73

38bb9967 90 47 6b   Note On B3 107
38bb9b8d 90 43 00   Note On(0-Off) G3

38bb9ba0 90 47 00   Note On(0-Off) B3
38bb9be1 90 3b 00   Note On(0-Off) B2

38bb9be8 90 48 67   Note On C4 103

38bb9be9 90 43 67   Note On G3 103
38bb9c81 90 43 00   Note On(0-Off) G3

38bb9ca2 90 40 00   Note On(0-Off) E3
38bb9df8 90 48 00   Note On(0-Off) C4
38bb9eae 90 26 60   Note On D1 96
38bb9ec1 90 3e 56   Note On D3 86

38bb9ec4 90 48 60   Note On C4 96

38bb9ec5 90 41 64   Note On F3 100

38bb9ec6 90 45 67   Note On A3 103
38bb9fa2 90 2d 49   Note On A1 73
38bb9ffa 90 26 00   Note On(0-Off) D1
38bba064 90 2d 00   Note On(0-Off) A1

38bba09d 90 32 42   Note On D2 66
38bba123 90 32 00   Note On(0-Off) D2
38bba17c 90 34 4f   Note On E2 79
38bba261 90 35 3a   Note On F2 58
38bba29d 90 34 00   Note On(0-Off) E2
38bba361 90 39 44   Note On A2 68

38bba384 90 35 00   Note On(0-Off) F2
38bba442 90 41 00   Note On(0-Off) F3

38bba446 90 39 00   Note On(0-Off) A2

38bba44a 90 3e 00   Note On(0-Off) D3
38bba498 90 45 00   Note On(0-Off) A3

38bba4ba 90 3e 13   Note On D3 19
38bba4d6 90 48 00   Note On(0-Off) C4
38bba58f 90 41 4f   Note On F3 79
38bba616 90 3e 00   Note On(0-Off) D3
38bba6d8 90 45 2c   Note On A3 44

38bba718 90 41 00   Note On(0-Off) F3
38bba72c 90 45 00   Note On(0-Off) A3

38bba732 90 2b 34   Note On G1 52

38bba747 90 48 47   Note On C4 71

38bba74d 90 45 2c   Note On A3 44

38bba74e 90 41 66   Note On F3 102

38bba751 90 3e 64   Note On D3 100

38bba764 90 43 5e   Note On G3 94
38bba798 90 43 00   Note On(0-Off) G3
38bba9cc 90 48 00   Note On(0-Off) C4

38bba9de 90 41 00   Note On(0-Off) F3
38bba9f9 90 3e 00   Note On(0-Off) D3

38bbaa0d 90 45 00   Note On(0-Off) A3

38bbaa37 90 2b 00   Note On(0-Off) G1
38bbaa6e 90 37 3f   Note On G2 63

38bbaa84 90 41 62   Note On F3 98

38bbaa87 90 3e 67   Note On D3 103

38bbaa88 90 47 69   Note On B3 105
38bbac11 90 37 00   Note On(0-Off) G2
38bbacd8 90 3e 00   Note On(0-Off) D3

38bbace7 90 47 00   Note On(0-Off) B3

38bbacfc 90 41 00   Note On(0-Off) F3
38bbad8f 90 41 60   Note On F3 96

38bbad93 90 3e 64   Note On D3 100

38bbad93 90 45 6b   Note On A3 107
38bbae34 90 41 00   Note On(0-Off) F3

38bbae39 90 45 00   Note On(0-Off) A3

38bbae42 90 3e 00   Note On(0-Off) D3
38bbafc2 90 43 64   Note On G3 100

38bbafc4 90 30 4d   Note On C2 77

38bbafc7 90 40 5f   Note On E3 95

38bbafca 90 24 7d   Note On C1 125
38bbb1dc 90 40 00   Note On(0-Off) E3

38bbb1ec 90 43 00   Note On(0-Off) G3

38bbb1f7 90 24 00   Note On(0-Off) C1
38bbb247 90 30 00   Note On(0-Off) C2
38bbb3fe 90 41 64   Note On F3 100

38bbb409 90 3b 52   Note On B2 82

38bbb40b 90 3e 56   Note On D3 86
38bbb41f 90 2f 6b   Note On B1 107
38bbb63c 90 41 00   Note On(0-Off) F3

38bbb644 90 3e 00   Note On(0-Off) D3

38bbb65b 90 3b 00   Note On(0-Off) B2
38bbb706 90 2f 00   Note On(0-Off) B1
38bbb7c9 90 39 44   Note On A2 68

38bbb7cb 90 40 5e   Note On E3 94

38bbb7ce 90 2d 5f   Note On A1 95
38bbbac0 90 40 00   Note On(0-Off) E3
38bbbaf2 90 39 00   Note On(0-Off) A2
38bbbb86 90 2d 00   Note On(0-Off) A1

38bbbb94 90 2b 56   Note On G1 86

38bbbb99 90 37 62   Note On G2 98

38bbbb9b 90 3e 66   Note On D3 102

38bbbba2 90 3b 69   Note On B2 105
38bbbd9f 90 3e 00   Note On(0-Off) D3
38bbbdb1 90 3b 00   Note On(0-Off) B2

38bbbde4 90 37 00   Note On(0-Off) G2
38bbbe39 90 2b 00   Note On(0-Off) G1
38bbbf82 90 39 64   Note On A2 100

38bbbf83 90 35 64   Note On F2 100

38bbbf89 90 29 60   Note On F1 96
38bbc4c6 90 35 00   Note On(0-Off) F2

38bbc4e6 90 39 00   Note On(0-Off) A2
38bbc560 90 29 00   Note On(0-Off) F1
38bbc640 90 39 2f   Note On A2 47
38bbc685 90 39 00   Note On(0-Off) A2
38bbc740 90 39 49   Note On A2 73
38bbc812 90 39 00   Note On(0-Off) A2
38bbc8da 90 35 3f   Note On F2 63

38bbc8e0 90 3b 67   Note On B2 103

38bbc8ea 90 29 4d   Note On F1 77

38bbc8ef 90 38 6b   Note On Ab2 107

38bbc913 90 3a 15   Note On Bb2 21

38bbc91b 90 39 76   Note On A2 118

38bbc91d 90 3b 00   Note On(0-Off) B2

38bbc932 90 38 00   Note On(0-Off) Ab2
38bbc978 90 39 00   Note On(0-Off) A2
38bbc9b5 90 3a 00   Note On(0-Off) Bb2
38bbca0a 90 38 5e   Note On Ab2 94
38bbce94 90 29 00   Note On(0-Off) F1
38bbcecf 90 35 00   Note On(0-Off) F2

38bbcede 90 38 00   Note On(0-Off) Ab2
38bbcf3c 90 29 64   Note On F1 100

38bbcf3f 90 35 67   Note On F2 103

38bbcf45 90 38 62   Note On Ab2 98
38bbd253 90 38 00   Note On(0-Off) Ab2
38bbd262 90 35 00   Note On(0-Off) F2
38bbd305 90 35 5f   Note On F2 95

38bbd308 90 3c 7f   Note On C3 127

38bbd30c 90 38 69   Note On Ab2 105
38bbd505 90 3c 00   Note On(0-Off) C3

38bbd506 90 38 00   Note On(0-Off) Ab2
38bbd53f 90 35 00   Note On(0-Off) F2

38bbd546 90 29 00   Note On(0-Off) F1
38bbd7d6 90 3e 44   Note On D3 68

38bbd7d7 90 35 5b   Note On F2 91

38bbd7d9 90 29 3e   Note On F1 62

38bbd7de 90 3b 70   Note On B2 112

38bbd7df 90 38 4d   Note On Ab2 77
38bbdaaa 90 3e 00   Note On(0-Off) D3
38bbdabd 90 35 00   Note On(0-Off) F2

38bbdae5 90 3b 00   Note On(0-Off) B2

38bbdb11 90 38 00   Note On(0-Off) Ab2
38bbdb81 90 38 40   Note On Ab2 64
38bbdb99 90 35 5b   Note On F2 91

38bbdb9a 90 3b 66   Note On B2 102
38bbdd5b 90 38 00   Note On(0-Off) Ab2

38bbdd73 90 3b 00   Note On(0-Off) B2

38bbdd7d 90 35 00   Note On(0-Off) F2

38bbdd84 90 29 00   Note On(0-Off) F1
38bbde58 90 34 5e   Note On E2 94
38bbde5f 90 39 66   Note On A2 102

38bbde72 90 2d 4d   Note On A1 77
38bbe434 90 39 00   Note On(0-Off) A2
38bbe45a 90 34 00   Note On(0-Off) E2

38bbe462 90 2d 00   Note On(0-Off) A1
38bbe4c1 90 2d 67   Note On A1 103

38bbe4d5 90 34 69   Note On E2 105
38bbe5e0 90 39 45   Note On A2 69
38bbe79a 90 39 00   Note On(0-Off) A2
38bbe803 90 34 00   Note On(0-Off) E2
38bbe8f3 90 2d 00   Note On(0-Off) A1
38bbe953 90 3b 6d   Note On B2 109

38bbe95a 90 2b 5e   Note On G1 94

38bbe95b 90 32 64   Note On D2 100

38bbe95e 90 37 6b   Note On G2 107
38bbec96 90 3b 00   Note On(0-Off) B2
38bbecf8 90 32 00   Note On(0-Off) D2

38bbed10 90 37 00   Note On(0-Off) G2
38bbeda4 90 37 6b   Note On G2 107

38bbeda8 90 32 67   Note On D2 103
38bbf017 90 37 00   Note On(0-Off) G2
38bbf055 90 32 00   Note On(0-Off) D2
38bbf1f9 90 2b 00   Note On(0-Off) G1

38bbf233 90 30 4f   Note On C2 79

38bbf237 90 39 5e   Note On A2 94

38bbf239 90 35 67   Note On F2 103

38bbf241 90 29 52   Note On F1 82
38bbf7ca 90 39 00   Note On(0-Off) A2
38bbf7ff 90 30 00   Note On(0-Off) C2

38bbf80a 90 35 00   Note On(0-Off) F2
38bbf867 90 37 64   Note On G2 100

38bbf871 90 30 2b   Note On C2 43
38bbf8b8 90 29 00   Note On(0-Off) F1
38bbf98d 90 35 62   Note On F2 98

38bbf9ba 90 37 00   Note On(0-Off) G2
38bbfa60 90 34 4f   Note On E2 79

38bbfa81 90 35 00   Note On(0-Off) F2

38bbfa95 90 30 00   Note On(0-Off) C2
38bbfb02 90 34 00   Note On(0-Off) E2
38bbfb66 90 28 40   Note On E1 64

38bbfb67 90 34 62   Note On E2 98

38bbfb68 90 30 5f   Note On C2 95

38bbfb6b 90 37 62   Note On G2 98
38bbfee0 90 34 00   Note On(0-Off) E2

38bbfee6 90 30 00   Note On(0-Off) C2

38bbfef5 90 37 00   Note On(0-Off) G2
38bc00a4 90 3e 20   Note On D3 32

38bc00ac 90 32 1b   Note On D2 27

38bc00af 90 39 3c   Note On A2 60

38bc00b7 90 35 4b   Note On F2 75
38bc036e 90 39 00   Note On(0-Off) A2

38bc0384 90 32 00   Note On(0-Off) D2
38bc0394 90 35 00   Note On(0-Off) F2

38bc039e 90 3e 00   Note On(0-Off) D3
38bc0587 90 34 66   Note On E2 102
38bc0590 90 37 67   Note On G2 103
38bc081e 90 37 00   Note On(0-Off) G2
38bc085f 90 34 00   Note On(0-Off) E2
38bc0a20 90 28 00   Note On(0-Off) E1

38bc0a4e 90 26 47   Note On D1 71

38bc0a4f 90 35 64   Note On F2 100

38bc0a53 90 39 5f   Note On A2 95

38bc0a54 90 32 5f   Note On D2 95

38bc0a5b 90 3e 5f   Note On D3 95
38bc0b8f 90 32 00   Note On(0-Off) D2
38bc0bc7 90 39 00   Note On(0-Off) A2

38bc0bd9 90 35 00   Note On(0-Off) F2
38bc0c0b 90 32 60   Note On D2 96

38bc0c44 90 3e 00   Note On(0-Off) D3
38bc0d1b 90 35 4b   Note On F2 75
38bc0e77 90 39 49   Note On A2 73

38bc0ebc 90 32 00   Note On(0-Off) D2
38bc0f80 90 35 00   Note On(0-Off) F2
38bc0ff9 90 3e 5e   Note On D3 94

38bc1014 90 39 00   Note On(0-Off) A2
38bc10b2 90 3e 00   Note On(0-Off) D3
38bc115e 90 3e 6b   Note On D3 107
38bc12d7 90 35 3e   Note On F2 62

38bc12e9 90 3e 00   Note On(0-Off) D3
38bc13fb 90 39 5b   Note On A2 91
38bc153a 90 3e 42   Note On D3 66
38bc1668 90 35 00   Note On(0-Off) F2

38bc1681 90 39 00   Note On(0-Off) A2
38bc16a3 90 3e 00   Note On(0-Off) D3

38bc16e3 90 26 00   Note On(0-Off) D1
38bc17a3 90 3e 67   Note On D3 103

38bc17a9 90 41 59   Note On F3 89

38bc17ac 90 24 7d   Note On C1 125
38bc1958 90 39 3e   Note On A2 62

38bc1960 90 3e 00   Note On(0-Off) D3
38bc196c 90 41 00   Note On(0-Off) F3
38bc1aca 90 3e 5b   Note On D3 91
38bc1be9 90 41 67   Note On F3 103

38bc1c2a 90 39 00   Note On(0-Off) A2
38bc1c42 90 3e 00   Note On(0-Off) D3
38bc1cd5 90 41 00   Note On(0-Off) F3
38bc1d91 90 3e 69   Note On D3 105

38bc1d96 90 41 66   Note On F3 102
38bc1f41 90 39 3a   Note On A2 58

38bc1f53 90 3e 00   Note On(0-Off) D3
38bc1f96 90 41 00   Note On(0-Off) F3
38bc209c 90 3e 5e   Note On D3 94
38bc2222 90 41 42   Note On F3 66
38bc22e6 90 39 00   Note On(0-Off) A2

38bc2324 90 3e 00   Note On(0-Off) D3
38bc2341 90 41 00   Note On(0-Off) F3

38bc2392 90 24 00   Note On(0-Off) C1
38bc23e7 90 3e 67   Note On D3 103

38bc23ed 90 3b 66   Note On B2 102

38bc23f0 90 45 5b   Note On A3 91

38bc23f5 90 43 62   Note On G3 98

38bc23fc 90 2b 66   Note On G1 102
38bc2490 90 3b 00   Note On(0-Off) B2

38bc24b5 90 45 00   Note On(0-Off) A3
38bc26db 90 3e 00   Note On(0-Off) D3

38bc26f6 90 43 00   Note On(0-Off) G3
38bc2787 90 3e 62   Note On D3 98

38bc278f 90 47 67   Note On B3 103
38bc2790 90 45 67   Note On A3 103

38bc2791 90 43 5f   Note On G3 95
38bc281e 90 45 00   Note On(0-Off) A3
38bc296b 90 3e 00   Note On(0-Off) D3
38bc29b4 90 43 00   Note On(0-Off) G3
38bc2a29 90 47 00   Note On(0-Off) B3
38bc2ae4 90 2d 62   Note On A1 98

38bc2afb 90 2b 00   Note On(0-Off) G1

38bc2b04 90 43 49   Note On G3 73

38bc2b05 90 47 60   Note On B3 96
38bc2c3a 90 43 00   Note On(0-Off) G3
38bc2ca8 90 47 00   Note On(0-Off) B3
38bc2cfc 90 2d 00   Note On(0-Off) A1
38bc2da7 90 4a 45   Note On D4 69

38bc2dab 90 47 3d   Note On B3 61

38bc2dba 90 2f 5e   Note On B1 94
38bc2f31 90 47 00   Note On(0-Off) B3

38bc2f4f 90 4a 00   Note On(0-Off) D4
38bc303b 90 2f 00   Note On(0-Off) B1

38bc304e 90 48 5b   Note On C4 91

38bc3050 90 30 66   Note On C2 102

38bc3053 90 4c 70   Note On E4 112
38bc31e9 90 48 00   Note On(0-Off) C4
38bc3273 90 4c 00   Note On(0-Off) E4
38bc32f0 90 32 60   Note On D2 96

38bc32f3 90 30 00   Note On(0-Off) C2
38bc3301 90 4d 6e   Note On F4 110

38bc3306 90 4a 69   Note On D4 105
38bc342c 90 4a 00   Note On(0-Off) D4

38bc3443 90 4d 00   Note On(0-Off) F4
38bc3600 90 32 00   Note On(0-Off) D2

38bc3606 90 53 6d   Note On B4 109

38bc360a 90 2b 64   Note On G1 100

38bc360b 90 4d 72   Note On F4 114

38bc360c 90 4a 64   Note On D4 100
38bc38dc 90 4a 00   Note On(0-Off) D4
38bc3901 90 53 00   Note On(0-Off) B4

38bc3905 90 4d 00   Note On(0-Off) F4
38bc39cc 90 4d 66   Note On F4 102

38bc39cf 90 51 70   Note On A4 112

38bc39d1 90 4a 5e   Note On D4 94
38bc3af3 90 2b 00   Note On(0-Off) G1

38bc3b1d 90 51 00   Note On(0-Off) A4

38bc3b33 90 4d 00   Note On(0-Off) F4

38bc3b44 90 4a 00   Note On(0-Off) D4
38bc3d32 90 24 79   Note On C1 121

38bc3d3d 90 4c 64   Note On E4 100

38bc3d3e 90 48 59   Note On C4 89
38bc3d44 90 4f 56   Note On G4 86
38bc40f0 90 24 00   Note On(0-Off) C1
38bc4147 90 48 00   Note On(0-Off) C4

38bc4157 90 4f 00   Note On(0-Off) G4

38bc415f 90 4c 00   Note On(0-Off) E4
38bd9bf8 90 40 67   Note On E3 103

38bd9bfb 90 37 6b   Note On G2 107
38bd9dfe 90 37 00   Note On(0-Off) G2

38bd9e0b 90 40 00   Note On(0-Off) E3
38bdabf7 90 43 62   Note On G3 98

38bdabfb 90 24 7b   Note On C1 123

38bdabff 90 37 5f   Note On G2 95
38bdb196 90 37 00   Note On(0-Off) G2
38bdb1e1 90 43 00   Note On(0-Off) G3
38bdb260 90 26 4d   Note On D1 77

38bdb261 90 24 00   Note On(0-Off) C1
38bdb274 90 41 66   Note On F3 102

38bdb276 90 37 49   Note On G2 73
38bdb4bd 90 37 00   Note On(0-Off) G2
38bdb4ef 90 41 00   Note On(0-Off) F3

38bdb525 90 28 49   Note On E1 73
38bdb53d 90 37 44   Note On G2 68

38bdb542 90 40 67   Note On E3 103

38bdb543 90 26 00   Note On(0-Off) D1
38bdb64e 90 28 00   Note On(0-Off) E1
38bdb6b6 90 37 00   Note On(0-Off) G2

38bdb6ce 90 40 00   Note On(0-Off) E3
38bdffce 90 40 59   Note On E3 89

38bdffcf 90 37 64   Note On G2 100

38bdffd2 90 24 72   Note On C1 114
38be0690 90 37 00   Note On(0-Off) G2
38be0882 90 40 00   Note On(0-Off) E3
38be0d9d 90 26 62   Note On D1 98

38be0da7 90 39 47   Note On A2 71

38be0da9 90 24 00   Note On(0-Off) C1

38be0dae 90 35 3f   Note On F2 63

38be0db1 90 40 49   Note On E3 73
38be10d0 90 35 00   Note On(0-Off) F2
38be1102 90 40 00   Note On(0-Off) E3

38be1132 90 39 00   Note On(0-Off) A2
38be1169 90 39 21   Note On A2 33

38be116a 90 2b 27   Note On G1 39

38be117b 90 35 3c   Note On F2 60

38be1183 90 3e 3a   Note On D3 58

38be11a0 90 26 00   Note On(0-Off) D1
38be149b 90 3e 00   Note On(0-Off) D3

38be14a6 90 35 00   Note On(0-Off) F2
38be14e9 90 35 15   Note On F2 21
38be17a0 90 35 00   Note On(0-Off) F2

38be17c6 90 39 00   Note On(0-Off) A2
38be183b 90 24 4f   Note On C1 79

38be1845 90 40 3a   Note On E3 58

38be1853 90 2b 00   Note On(0-Off) G1

38be1857 90 37 40   Note On G2 64
38be1f9c 90 37 00   Note On(0-Off) G2

38be1fa8 90 40 00   Note On(0-Off) E3
38be2017 90 2f 1a   Note On B1 26

38be2019 90 37 3d   Note On G2 61

38be201a 90 3b 60   Note On B2 96

38be201b 90 3e 66   Note On D3 102

38be202c 90 24 00   Note On(0-Off) C1
38be239b 90 3b 00   Note On(0-Off) B2

38be239d 90 3e 00   Note On(0-Off) D3

38be23c8 90 37 00   Note On(0-Off) G2
38be2474 90 2f 00   Note On(0-Off) B1

38be247e 90 2d 3e   Note On A1 62

38be2498 90 39 2c   Note On A2 44

38be2499 90 34 34   Note On E2 52
38be2815 90 2d 00   Note On(0-Off) A1
38be29e8 90 39 00   Note On(0-Off) A2

38be2a01 90 34 00   Note On(0-Off) E2
38beae20 90 3c 7f   Note On C3 127
38beaedc 90 3c 00   Note On(0-Off) C3
38beaf93 90 3e 6b   Note On D3 107
38beb122 90 3e 00   Note On(0-Off) D3
38beb25e 90 40 6b   Note On E3 107
38beb3ac 90 40 00   Note On(0-Off) E3
38bee32a 90 47 72   Note On B3 114
38bee69f 90 47 00   Note On(0-Off) B3
38bee710 90 48 6d   Note On C4 109
38befef1 90 48 00   Note On(0-Off) C4
38bf0af6 90 45 64   Note On A3 100

38bf0af9 90 41 64   Note On F3 100

38bf0afa 90 24 7b   Note On C1 123
38bf0d9e 90 45 00   Note On(0-Off) A3

38bf0da4 90 41 00   Note On(0-Off) F3
38bf0de7 90 24 00   Note On(0-Off) C1

38bf0e03 90 28 56   Note On E1 86

38bf0e12 90 40 66   Note On E3 102

38bf0e19 90 43 67   Note On G3 103
38bf10a5 90 40 00   Note On(0-Off) E3

38bf10a9 90 43 00   Note On(0-Off) G3

38bf10d0 90 29 6b   Note On F1 107

38bf10db 90 45 69   Note On A3 105

38bf10e1 90 41 69   Note On F3 105

38bf10e2 90 28 00   Note On(0-Off) E1
38bf135c 90 41 00   Note On(0-Off) F3

38bf135f 90 45 00   Note On(0-Off) A3
38bf13c4 90 24 79   Note On C1 121

38bf13cb 90 43 67   Note On G3 103

38bf13cd 90 40 4f   Note On E3 79

38bf13d4 90 29 00   Note On(0-Off) F1
38bf1767 90 40 00   Note On(0-Off) E3

38bf1790 90 43 00   Note On(0-Off) G3
38bf18ff 90 3e 42   Note On D3 66
38bf1a5c 90 40 5f   Note On E3 95
38bf1ac7 90 3e 00   Note On(0-Off) D3
38bf1b71 90 41 6b   Note On F3 107
38bf1bd9 90 40 00   Note On(0-Off) E3
38bf1cd1 90 43 64   Note On G3 100

38bf1cd6 90 41 00   Note On(0-Off) F3
38bf1f6d 90 43 00   Note On(0-Off) G3
38bf2055 90 43 6b   Note On G3 107
38bf2163 90 45 64   Note On A3 100

38bf2197 90 43 00   Note On(0-Off) G3
38bf22af 90 47 70   Note On B3 112
38bf22f3 90 45 00   Note On(0-Off) A3
38bf23c5 90 48 3f   Note On C4 63
38bf2439 90 47 00   Note On(0-Off) B3
38bf25d9 90 4a 6b   Note On D4 107

38bf25e1 90 29 59   Note On F1 89

38bf25f6 90 48 00   Note On(0-Off) C4

38bf260a 90 24 00   Note On(0-Off) C1
38bf280c 90 48 6e   Note On C4 110
38bf282e 90 4a 00   Note On(0-Off) D4
38bf2a34 90 29 00   Note On(0-Off) F1
38bf2a8a 90 48 00   Note On(0-Off) C4
38bff010 90 24 72   Note On C1 114

38bff016 90 37 44   Note On G2 68

38bff019 90 40 3e   Note On E3 62
38bff442 90 37 00   Note On(0-Off) G2
38bff534 90 40 00   Note On(0-Off) E3
38bff5d1 90 26 44   Note On D1 68

38bff5e5 90 39 44   Note On A2 68

38bff5e7 90 35 3d   Note On F2 61

38bff5ed 90 24 00   Note On(0-Off) C1

38bff5ef 90 40 52   Note On E3 82
38bff8b0 90 35 00   Note On(0-Off) F2

38bff8c6 90 39 00   Note On(0-Off) A2

38bff8d0 90 40 00   Note On(0-Off) E3
38bff92e 90 2b 45   Note On G1 69

38bff937 90 26 00   Note On(0-Off) D1

38bff941 90 40 47   Note On E3 71
38bff943 90 39 64   Note On A2 100

38bff94c 90 35 56   Note On F2 86
38bffb7c 90 35 00   Note On(0-Off) F2

38bffb94 90 39 00   Note On(0-Off) A2

38bffb96 90 40 00   Note On(0-Off) E3
38bffbee 90 2b 00   Note On(0-Off) G1

38bffbf0 90 29 67   Note On F1 103

38bffc0a 90 39 64   Note On A2 100

38bffc0c 90 35 5b   Note On F2 91

38bffc0d 90 3e 6b   Note On D3 107
38bffdc7 90 39 00   Note On(0-Off) A2

38bffdd5 90 35 00   Note On(0-Off) F2

38bffdd7 90 3e 00   Note On(0-Off) D3

38bffdf7 90 29 00   Note On(0-Off) F1
38bffe13 90 28 52   Note On E1 82

38bffe2f 90 39 6b   Note On A2 107

38bffe33 90 3c 7f   Note On C3 127

38bffe34 90 35 64   Note On F2 100
38c00024 90 3c 00   Note On(0-Off) C3

38c0004b 90 35 00   Note On(0-Off) F2

38c00050 90 39 00   Note On(0-Off) A2
38c000ef 90 28 00   Note On(0-Off) E1

38c00131 90 26 60   Note On D1 96

38c00135 90 35 59   Note On F2 89

38c00138 90 39 5f   Note On A2 95

38c0013b 90 3e 67   Note On D3 103
38c004ce 90 39 00   Note On(0-Off) A2
38c004e3 90 35 00   Note On(0-Off) F2

38c004f1 90 3e 00   Note On(0-Off) D3
38c00573 90 39 67   Note On A2 103

38c00577 90 3e 6b   Note On D3 107

38c00579 90 35 5e   Note On F2 94

38c0057b 90 28 69   Note On E1 105

38c005a1 90 26 00   Note On(0-Off) D1
38c00663 90 39 00   Note On(0-Off) A2

38c0066d 90 3e 00   Note On(0-Off) D3
38c00677 90 35 00   Note On(0-Off) F2
38c006fd 90 40 62   Note On E3 98

38c006fe 90 29 6b   Note On F1 107

38c00701 90 35 66   Note On F2 102

38c00703 90 28 00   Note On(0-Off) E1

38c00708 90 39 6b   Note On A2 107
38c007db 90 40 00   Note On(0-Off) E3

38c007dd 90 39 00   Note On(0-Off) A2

38c0080a 90 35 00   Note On(0-Off) F2
38c00861 90 41 69   Note On F3 105

38c00863 90 35 49   Note On F2 73

38c00868 90 39 64   Note On A2 100
